seed,alpha,item,depth,stem,correct,wrong,cold,warm,mismatched,coldB,warmB,mismB
0,1.0,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.8546149730682373,-1.3664569854736328,-1.0181591510772705,20.15101282019168,21.598825866356492,22.561334950849414
0,1.0,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,0.13506746292114258,0.1542820930480957,0.24781179428100586,17.5580970402807,15.247483292594552,15.651599265635014
0,1.0,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.9097819328308105,0.7847542762756348,0.7119617462158203,19.556194969569333,15.45643076300621,15.721567273139954
0,1.0,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.6272311210632324,-0.5447158813476562,-0.71356201171875,17.79171660344582,17.763003177242354,16.94601147202775
0,1.0,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.2646069526672363,0.5668773651123047,0.25179576873779297,18.28104548412375,17.484724188689142,17.468886672053486
0,1.0,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.4730377197265625,0.7789664268493652,0.4569845199584961,19.65852615237236,19.478979278123006,19.52090570377186
0,1.0,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.7057490348815918,0.9995083808898926,0.8582444190979004,17.012966267066076,14.40193337853998,14.728337381966412
0,1.0,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.21684980392456055,-0.10167884826660156,-0.04195117950439453,18.16511170193553,13.099327270872891,13.816081200260669
0,1.0,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.4762401580810547,0.13991117477416992,0.45757198333740234,19.169248669059016,17.52963239233941,17.618709795409814
0,1.0,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.4870634078979492,-0.6651115417480469,-0.9074509143829346,19.423630821926054,18.211931166006252,18.798289501748513
0,1.0,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.3324260711669922,-0.10801887512207031,0.023836612701416016,21.338226908585057,20.52584645827301,20.63279204524588
0,1.0,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.47894906997680664,-1.6697731018066406,-1.4543170928955078,18.721352213877253,16.84336184337735,18.038178184302524
0,2.0,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.8546149730682373,-1.2260456085205078,-1.7671589851379395,20.15101282019168,20.8415137687698,22.262981541687623
0,2.0,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,0.13506746292114258,1.2963037490844727,0.6733551025390625,17.5580970402807,16.019904881715775,14.932084880769253
0,2.0,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.9097819328308105,-0.024283885955810547,0.20838403701782227,19.556194969569333,12.098976418375969,12.627792343497276
0,2.0,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.6272311210632324,-0.4005856513977051,-0.37253427505493164,17.79171660344582,16.972261121496558,16.029209607746452
0,2.0,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.2646069526672363,1.3779621124267578,0.8581728935241699,18.28104548412375,16.403410687111318,16.311925513204187
0,2.0,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.4730377197265625,1.4208002090454102,1.6495461463928223,19.65852615237236,21.225978729315102,21.708661460783333
0,2.0,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.7057490348815918,2.0350513458251953,1.2688674926757812,17.012966267066076,13.60121737420559,14.104410786181688
0,2.0,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.21684980392456055,-0.4360947608947754,0.21745061874389648,18.16511170193553,13.739295445382595,12.783036109060049
0,2.0,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.4762401580810547,0.007545948028564453,-0.005878925323486328,19.169248669059016,17.088459325954318,17.281789747066796
0,2.0,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.4870634078979492,1.3489274978637695,1.4777073860168457,19.423630821926054,16.80665159225464,17.885016235988587
0,2.0,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.3324260711669922,0.47953128814697266,0.7153744697570801,21.338226908585057,17.61019826028496,19.053618017118424
0,2.0,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.47894906997680664,-0.5312390327453613,-1.9426536560058594,18.721352213877253,15.593275445513427,17.70109941251576
0,3.0,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.8546149730682373,-4.936789035797119,-2.318770408630371,20.15101282019168,18.215213790535927,16.415654361248016
0,3.0,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,0.13506746292114258,3.858449935913086,-0.5813560485839844,17.5580970402807,18.195260018110275,20.114179104566574
0,3.0,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.9097819328308105,-2.631715774536133,-5.13466215133667,19.556194969569333,13.721512146294117,12.754538178443909
0,3.0,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.6272311210632324,-2.34682035446167,-3.031538486480713,17.79171660344582,14.481776434928179,17.100339978933334
0,3.0,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.2646069526672363,3.1211180686950684,3.5866055488586426,18.28104548412375,17.478866305202246,19.184907857328653
0,3.0,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.4730377197265625,2.765878677368164,0.9363899230957031,19.65852615237236,20.214574724435806,20.12261663377285
0,3.0,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.7057490348815918,6.699465751647949,0.20111083984375,17.012966267066076,15.07828176021576,18.484259251505136
